Do you prefer bread to rice?,パンよりお米,Yes,はい,No,いいえ
You like ambiguous relationship?,曖昧な関係が好きだ,Yes,はい,No,いいえ
Do you believe in ghost?,幽霊は信じる？,Yes,はい,No,いいえ
Do you predict someone's memory?,他人の記憶を予想したりする？,Yes,はい,No,いいえ
You feel your life is soaked in details of your daily life these days.,人生が日常の細部に染み込んでいるなぁと感じる、最近,Yes,はい,No,いいえ
A fragmentary thing is the best,断片的なのが大事,Yes,はい,No,いいえ
Do you believe in rebirth?,生まれ変わりって信じる？,Yes,はい,No,いいえ
Do you have a wider view?,視野広い？,Yep,うん,Nope,ううん
Delicious is happiness,おいしいはしあわせ,Yes I think so,そうだね,No I don't think so,そうかな
Do employees dream of a butterfly?,清掃服は蝶の夢を見るか？,Yes,はい,No,いいえ
