Do you have a own motto/policy?,あなたには座右の銘がありますか？,Yes I do.,ある,No I don't.,ない,
Which is similar to waht you want?,座右の銘はどちらに近いですか？,motto,モットー,policy,ポリシー,
Do you want to exchange your motto/policy?,座右の銘を交換してみたいと思いますか？,Yes,思う,No,思わない,
What do you think if your motto/policy must be "simplicity and fortitude"?,今日からあなたの座右の銘が「質実剛健」になったらどんな気分ですか？,I think I would be sad.,どちらかと言えば悲しい,I think I would be happy.,どちらかと言えば嬉しい,
What do you think if you have to exchange your motto/policy with someone?,座右の銘（もしくはモットー、ポリシー、考え、信念など）を交換せざるを得ない状況になったら、どう思いますか？,I would be very excited.,ワクワクする,I would be disappointed.,テンションが下がる
"simplicity and fortitude" is,質実剛健って,difficult,こむずかしい,cool,かっこいい,
A "Three years on a stone" three years for me is,石の上にも三年は,long,長い,short,短い,
good fortune and happiness will come to the home of those who smile,笑う門には福来たる,Yes I think so too.,に違いない,Not so much..,とは限らない,
You would choose,もし選ぶなら、,"Continuity is the father of success",継続は力なり,"Sometimes you just have to give up",辞め時が肝心,
You would choose,もし選ぶなら、,"Strike while the iron is hot.",善は急げ,"More haste, less speed.",急がば回れ
