What taste of ramen noodle do you like?,どの味のラーメンが好きです？,Tonkotsu (pork bone broth),豚骨,salt,塩
What color do you like?,好きな色は、何ですか？,green,緑,red,赤
What taste of ice cream do you like?,何味のアイスが好きですか？,vanilla,バニラ,green tea,抹茶
What do you draw with?,絵を描く時は、何を持ちますか？,a pencil,鉛筆,a ballpoint pen,ボールペン
MUJI is about?,無印良品といえば、何ですか？,curry,カレー,cosmetics,化粧水
Which do you like?,どちらが好きですか？,a pillow,枕,a cushion,クッション
Where do you drink melon soda?,メロンソーダは、どこで飲みますか？,at a cafe,喫茶店,at Karaoke shop,カラオケ屋さん
What do you imagine when you hear "hachi"?,『はち』といえば、どちらですか？,8,8,a bee,蜂
What animal do you like?,好きな動物は、何ですか？,cats,猫,a bear,熊
Which way do you go?,どちらに行きますか？,toward left,左へ,toward right,右へ
