You can recognize musical scale "La",「ラ」の音がわかる,Yes,はい,No,いいえ,
You would sing,歌うなら？,with someone,誰かと,by yourself,ひとりで,
Want to synchronize?,合わせる？,Yes,はい,No,いいえ,
How much?,どれくらい？,pretty much,けっこう,just a little,ちょっと,
With who?,誰と？,someone you know,知っている人,someone you don't know,知らない人,
Do you like a sound?,音は？,Yes I do.,好き,No I don't.,嫌い,
A word is,言葉は,music,音楽,a symbol,記号,
Do you know a gentle song for the world?,世界のための優しい音楽を知ってる？,Yes,はい,No,いいえ,
Do you know smell of 〇〇?,〇〇の匂いのような味を知ってる？,Yes,はい,No,いいえ,
Would you like to listen to it?,聴いてみる？,yeah,いいよ,well...maybe..,どうだろう,
