Are you angry at something?,今、何かに、怒ってますか？,Yes,世の中に対し、もの申したいことが沢山ある！,No,何事もなるようになるさ。
Are you glad when someone tells you that you are a good person?,「あなた良い人だね」って言われると素直にうれしいですか？,Yes,それほどでも~。と照れる,No,むしろ、相手を疑ってしまう。
Getting first place is all about?,一番でなければ意味は無いですか？,Yes,勝つと言うことは、そういう事だ。,No,何事も腹八分目がちょうど良い。
Do you want to appear on TV program or something and being said "you are weird"by celebrity?,TVとかに出演して、マ〇コデラックスに「あんた、変態ねぇ。」と言われてみたいですか？,Yes,目指せ香川〇之、さ〇なクン！,No,そもそも、TVに出るなんてありえない。
Do you have any hobbies that make you feel too emotional when you think about it?,エモ過ぎて、鼻血を出してまう(もしくは、それに近い気分)になるくらいの趣味はありますか？,Yes,それくらいの「推し」がいる。,No,そもそも、そういう類の人が理解できない。
Do you think your meal is good as usual?,今日も、ご飯(もしくはパンはたまたナン)は、おいしいですか？,Yes,あと、味噌汁と魚があれば良い,No,いいえ
Are you enjoying your life?,いくぞ、1.2.3.ダー！人生、楽しんでますかー？,Yes,はい,No,いいえ
Do you think there is something when you exceed the limit?,限界の向こう側は有ると思いますか？,Yes,できることなら、見てみたい。,No,人それぞれには、できることとできないことがある。
When your opinion is different from others do you accept it?,人と考えが違った時、そんな考えも有りかもと受け容れられますか？,Yes,自分の考えが必ずしも、総てでは無い。,No,時と場合には、押し通す！
Why are you and I are asking questions like this?,なぜ、あなたと私は、今、こうして、質問し合っているのでしょうか？,because of this project,例1)このプロジェクトがあったから。 ,it is god only knows,例2)それは、神のみぞが知るコトさ。
